no_paths,no_points,width,height,elongation,length,area,roundness,drawing
21,1421,335,259,1.2923076923076924,764.9331262114775,39387.0,0.8458937756088305,bicycle
15,980,397,218,1.817351598173516,948.8796917141241,54904.50000000003,0.7662941345122095,guitar
12,701,273,259,1.0538461538461539,600.7795701197305,14526.499999999967,0.5057554144338482,pencil
22,1267,285,359,1.2587412587412588,906.1262483380348,53195.00000000012,0.8141478027086174,clock
6,378,326,272,1.1978021978021978,653.5077022964679,27682.499999999996,0.8145425042005721,car
4,361,306,279,1.0964285714285715,568.5405015919165,20965.999999999996,0.8150844894027822,fish
8,393,400,384,1.0415584415584416,1307.9887043585236,118702.49999999994,0.8718900927058924,house
3,123,267,356,1.3320895522388059,820.4243049293173,46498.50000000001,0.8681040285256914,tree
9,241,411,389,1.0564102564102564,1015.9332190437286,65065.00000000004,0.7921856586111704,bicycle
9,267,318,343,1.078369905956113,832.5305806094681,27631.9999999999,0.5009816216348033,guitar
2,220,230,265,1.1515151515151516,484.88588615707346,9127.999999999918,0.4878725791868689,pencil
3,101,294,262,1.1216730038022813,652.9993345899619,31983.49999999998,0.9425629704232433,clock
15,1355,282,268,1.0520446096654275,649.2469317652738,22823.0,0.6803976147926993,car
5,129,323,199,1.62,591.444205175922,12919.499999999976,0.46411756838673063,fish
12,378,316,360,1.138801261829653,983.5311860560746,66242.00000000007,0.8605320103085587,house
4,306,321,371,1.15527950310559,988.0552343431233,67541.00000000003,0.8693905274916548,tree
10,613,271,269,1.0074074074074073,558.1127851956846,20750.99999999999,0.8371532191747216,bicycle
16,861,399,366,1.0899182561307903,981.0014361660964,52545.500000000095,0.6861295228802138,guitar
5,213,294,293,1.0034013605442176,568.425654586795,9170.499999999904,0.35666093032289153,pencil
30,1794,291,305,1.047945205479452,904.9917852678363,53364.999999999985,0.8187986230244844,clock
5,320,257,293,1.1395348837209303,644.1509030458511,21943.50000000003,0.6645696795175499,fish
23,1286,270,324,1.1992619926199262,665.1253540946105,29900.499999999985,0.8493394731824805,house
3,232,333,372,1.1167664670658684,1010.85587431768,71848.49999999997,0.8835865395611943,tree
7,275,350,335,1.0446428571428572,897.4046851405103,48020.49999999992,0.7493071498441772,bicycle
5,628,345,343,1.005813953488372,956.2746351658,53872.500000000015,0.7403067700536207,guitar
8,238,305,346,1.1339869281045751,822.8866953127689,21029.499999999938,0.39026421415767754,pencil
4,228,353,321,1.0993788819875776,877.4208674284347,59660.500000000015,0.9738248104529821,clock
7,302,330,264,1.2490566037735849,796.386065898186,43811.000000000044,0.8680519655257452,car
7,297,380,337,1.1272189349112427,1122.7039543641304,87406.50000000001,0.8714111039341703,house
3,116,285,341,1.1958041958041958,1009.2321530514948,64798.99999999993,0.7994586600439869,tree
7,103,235,240,1.021186440677966,419.0243632841608,10908.500000000011,0.7807218791648973,bicycle
1,159,330,265,1.244360902255639,780.464582097928,36337.500000000044,0.7496499392648028,guitar
4,45,205,275,1.3398058252427185,501.9804098168533,17748.5,0.8851114957046758,clock
7,632,387,334,1.1582089552238806,818.2134497581978,40247.50000000001,0.7554670806951332,car
6,268,376,271,1.3860294117647058,743.3810794109908,25584.49999999974,0.5817867036995811,fish
13,400,342,374,1.0932944606413995,918.5357548895687,52569.49999999991,0.782981638745944,house
3,163,277,335,1.20863309352518,835.0271867726633,42758.49999999996,0.7706037082204926,tree
8,181,294,272,1.0805860805860805,450.7771117646608,11814.000000000004,0.7306058029378416,bicycle
4,285,391,290,1.3470790378006874,728.4554951627799,22762.999999999978,0.5390552931172086,guitar
